datetime	FF	FX	N	P	T	TD	U	gasPower	hour	dayofweek	season
2017-10-03 19:00:00	2.615000009536743	4.054999828338623	7.833333492279053	1022.7666625976562	13.466667175292967	8.633333206176758	72.16666412353516	0.06383722478693182	19	1	4
2017-10-03 20:00:00	2.2316665649414062	2.931666612625122	8.0	1022.933349609375	12.93333339691162	9.016666412353516	76.83333587646484	0.06935258345170454	20	1	4
2017-10-03 21:00:00	2.315000057220459	3.446666717529297	7.666666507720947	1023.0166625976562	13.350000381469727	9.0	74.33333587646484	0.02118474786931818	21	1	4
2017-10-03 22:00:00	3.5349998474121094	5.2883334159851065	7.833333492279053	1022.8499755859376	13.800000190734865	7.933333396911621	67.16666412353516	0.022549715909090908	22	1	4
2017-10-03 23:00:00	3.758333444595337	5.739999771118164	8.0	1022.8833618164062	13.766666412353516	7.550000190734862	65.5	0.02672230113636364	23	1	4
2017-10-04 00:00:00	3.704999923706055	5.4133334159851065	5.333333492279053	1022.933349609375	13.5	7.416666507720947	66.16666412353516	0.026267311789772728	0	2	4
2017-10-04 01:00:00	3.829166650772095	5.793333530426025	7.833333492279053	1022.691650390625	13.733333587646484	7.7333335876464835	66.5	0.01199618252840909	1	2	4
2017-10-04 02:00:00	4.817999839782715	7.312000274658202	8.0	1022.4600219726562	13.65999984741211	7.039999961853027	63.79999923706055	0.019731001420454544	2	2	4
2017-10-04 03:00:00	4.375	6.898333549499513	7.5	1022.433349609375	13.133333206176758	6.416666507720947	63.16666793823242	0.01175204190340909	3	2	4
2017-10-04 04:00:00	4.460000038146973	6.724999904632568	5.0	1022.1166381835938	12.81666660308838	6.116666793823242	63.16666793823242	0.0014537464488636365	4	2	4
2017-10-04 05:00:00	5.058333396911621	7.9166669845581055	8.0	1021.7000122070312	13.116666793823242	6.416666507720947	63.16666793823242	0.002718838778409091	5	2	4
2017-10-04 06:00:00	5.24833345413208	8.100000381469728	6.666666507720947	1021.2666625976562	12.899999618530273	6.383333206176758	64.0	0.03147194602272727	6	2	4
2017-10-04 07:00:00	3.940000057220459	6.053333282470702	5.166666507720947	1021.0499877929688	12.383333206176758	6.5166664123535165	66.83333587646484	0.08905584161931818	7	2	4
2017-10-04 08:00:00	4.118333339691162	5.954999923706055	1.3333333730697632	1020.7333374023438	12.283332824707033	6.866666793823242	69.16666412353516	0.10919744318181818	8	2	4
2017-10-04 09:00:00	5.590000152587892	8.138333320617676	1.5	1020.6500244140624	12.81666660308838	6.8333330154418945	66.5	0.04933860085227273	9	2	4
