datetime	FF	FX	N	P	T	TD	U	gasPower	hour	dayofweek	season
2017/2/24 23:00	2.089536231	2.380804724	2.679424663	1019.951778	1.501179692	1.538824823	98.76088859	0.145509622	23	4	1
2017/2/25 0:00	1.98987199	2.731686871	1.240128627	1019.940003	1.178295256	1.203609172	97.66172849	0.238993264	0	5	1
2017/2/25 1:00	1.989821949	2.64461946	5.013749215	1019.992302	0.765034945	0.619922169	97.75081503	0.294786042	1	5	1
2017/2/25 2:00	2.251617823	2.925838421	1.697194867	1019.905312	1.208104912	0.923662441	97.2149583	0.130259664	2	5	1
2017/2/25 3:00	2.850210562	3.977170423	1.119202086	1020.206633	2.509944644	1.444335721	92.73660275	0.175744427	3	5	1
2017/2/25 4:00	3.338574911	4.78153881	1.036599135	1020.074181	2.240549836	0.464759798	87.82158918	0.122938076	4	5	1
2017/2/25 5:00	4.095194969	6.101996111	5.842747825	1018.707105	4.11103761	1.412175855	83.35582153	0.152130481	5	5	1
2017/2/25 6:00	4.684764923	6.782581125	3.34325967	1018.090609	3.94696622	1.310889533	83.23655683	0.134041865	6	5	1
2017/2/25 7:00	4.592464826	6.707715895	4.09594394	1018.331617	4.29332309	1.807687183	84.06348569	0.103556691	7	5	1
2017/2/25 8:00	4.484293285	6.549244814	6.748646196	1018.347467	4.548149303	2.038485342	83.45835865	0.124778932	8	5	1
2017/2/25 9:00	5.059346202	7.72714233	6.244352098	1018.247981	4.256146621	2.031910199	84.82153918	0.210504529	9	5	1
2017/2/25 10:00	6.305961343	9.303525717	6.443120632	1017.803685	4.74586934	2.080180668	82.09483765	0.177155408	10	5	1
2017/2/25 11:00	7.488993436	10.33474533	7.381275646	1017.560692	5.293222643	1.943616692	78.47278315	0.131103509	11	5	1
2017/2/25 12:00	7.651117121	11.09547383	7.340391379	1017.644053	5.8582489	2.116270049	75.82890856	0.169894251	12	5	1
2017/2/25 13:00	7.728926472	11.51528682	7.029231336	1017.120149	5.934401277	2.313896346	76.53655101	0.126629911	13	5	1
2017/2/25 14:00	7.411878251	10.93729826	6.442669497	1016.254577	5.863763899	2.115563146	75.66855231	0.115297139	14	5	1
2017/2/25 15:00	7.722332096	11.66663689	7.573172792	1014.945116	7.050761924	2.518554906	72.38118323	0.128795852	15	5	1
2017/2/25 16:00	8.034230351	11.98911043	7.620460512	1014.604712	7.513901715	3.03313833	72.09419436	0.153025805	16	5	1
2017/2/25 17:00	8.610468648	12.85484906	6.411286451	1014.034689	8.056732916	3.223705853	71.03084374	0.177053721	17	5	1
2017/2/25 18:00	8.80653412	13.39541809	7.644115109	1013.058479	7.887353443	3.624670963	73.13719952	0.131669902	18	5	1
2017/2/25 19:00	8.400797554	12.45337685	7.678152603	1012.896932	8.359496188	4.161993965	73.90980925	0.120937164	19	5	1
2017/2/25 20:00	8.384744122	12.74976968	7.705871712	1013.319689	8.512361846	4.116058634	72.76688649	0.127327901	20	5	1
2017/2/25 21:00	10.17781551	15.00293545	7.728501688	1013.287693	8.534635028	4.120711191	72.82010911	0.104782509	21	5	1
2017/2/25 22:00	8.736546766	12.53974107	7.747031574	1012.547998	8.498744113	3.951198835	72.40189331	0.113894619	22	5	1
2017/2/25 23:00	8.496415645	12.06474581	7.762257176	1011.949636	8.356394361	4.300703969	74.99018994	0.091170537	23	5	1
2017/2/26 0:00	8.977142476	12.59422096	7.525515473	1011.480282	7.987465933	4.737369092	79.03886941	0.101817031	0	6	1
2017/2/26 1:00	8.06106215	11.98325021	7.77609184	1011.093116	8.204084643	4.725361488	77.65281916	0.354567372	1	6	1
2017/2/26 2:00	7.419051627	11.38940692	7.786479685	1011.062922	7.608381889	5.049504362	82.86067409	0.465810128	2	6	1
2017/2/26 3:00	7.788162225	11.87952053	7.795134131	1010.825515	7.620730023	5.071545306	83.09386225	0.403253441	3	6	1
2017/2/26 4:00	8.231199122	12.01959942	7.802388946	1010.111223	7.567743516	5.089733279	83.56114802	0.369305411	4	6	1
2017/2/26 5:00	8.201678028	11.09738	7.68392819	1009.403919	7.607185927	5.264702438	84.95877222	0.338455152	5	6	1
2017/2/26 6:00	7.628668013	11.06278151	7.684597125	1008.947453	7.778709955	5.259954918	83.567343	0.291417092	6	6	1
2017/2/26 7:00	8.209195056	11.88503609	7.809940402	1008.527138	7.667725863	5.277387623	84.55164669	0.201132084	7	6	1
2017/2/26 8:00	7.96579372	11.88633621	7.815346748	1008.895618	7.672968795	5.417639915	85.46052753	0.266668327	8	6	1
2017/2/26 9:00	7.966767044	11.87610132	7.81996564	1008.907342	7.782547865	5.731983821	86.91393	0.156590225	9	6	1
2017/2/26 10:00	7.826719278	11.78753143	7.823946628	1009.250148	8.131339947	5.873449435	85.06035256	0.248385832	10	6	1
2017/2/26 11:00	8.72670816	12.6088564	7.827410135	1009.937417	8.054482212	6.415494104	89.37567671	0.264011051	11	6	1
2017/2/26 12:00	7.366761825	10.79347612	7.830453153	1010.112211	8.125145141	7.243428539	93.86597449	0.193013269	12	6	1
2017/2/26 13:00	6.382017506	8.888804706	7.833153818	1009.727166	8.124517301	7.331900373	94.12717511	0.365084958	13	6	1
2017/2/26 14:00	6.754126977	9.902335165	7.835575091	1009.168703	8.715129355	7.63590747	92.88391259	0.162949326	14	6	1
2017/2/26 15:00	7.136207306	10.49998168	7.837767723	1008.625747	9.178115851	7.574920758	89.48723729	0.323314602	15	6	1
2017/2/26 16:00	7.614961244	11.61310431	7.839772636	1008.085675	9.754293943	7.791330313	87.81703989	0.167665304	16	6	1
2017/2/26 17:00	6.912712454	10.61545749	7.841622843	1007.720759	9.58592246	8.053447918	90.16390125	0.233069254	17	6	1
2017/2/26 18:00	7.151352184	10.244894	7.718908913	1007.175422	9.800898966	8.045919371	88.5771198	0.175765233	18	6	1
2017/2/26 19:00	7.500367838	11.05359458	7.467167736	1007.16533	9.924566368	8.313779057	89.36756283	0.08800684	19	6	1
2017/2/26 20:00	7.758712872	11.4997045	7.456036138	1006.846314	10.1338716	8.286331651	87.69241681	0.170102506	20	6	1
2017/2/26 21:00	5.6041628	9.126360559	6.078745604	1006.954011	9.919604312	7.961200145	87.04146443	0.166579093	21	6	1
2017/2/26 22:00	6.20777728	9.027041309	6.768691036	1006.792901	10.00370434	7.797135622	85.92129276	0.376740724	22	6	1
2017/2/26 23:00	8.226701241	12.18287341	7.12322697	1006.510025	10.53647325	6.973785543	78.28059059	0.236256048	23	6	1
2017/2/27 0:00	8.424897673	12.31315728	6.74857416	1005.845911	10.01680444	6.404382906	78.23786333	0.187785884	0	0	1
